dteday,registered,cnt
01-01-2018,654,985
02-01-2018,670,801
03-01-2018,1229,1349
04-01-2018,1454,1562
05-01-2018,1518,1600
06-01-2018,1518,1606
07-01-2018,1362,1510
08-01-2018,891,959
09-01-2018,768,822
10-01-2018,1280,1321
11-01-2018,1220,1263
12-01-2018,1137,1162
13-01-2018,1368,1406
14-01-2018,1367,1421
15-01-2018,1026,1248
16-01-2018,953,1204
17-01-2018,883,1000
18-01-2018,674,683
19-01-2018,1572,1650
20-01-2018,1844,1927
21-01-2018,1468,1543
22-01-2018,888,981
23-01-2018,836,986
24-01-2018,1330,1416
25-01-2018,1799,1985
26-01-2018,472,506
27-01-2018,416,431
28-01-2018,1129,1167
29-01-2018,975,1098
30-01-2018,956,1096
31-01-2018,1459,1501
01-02-2018,1313,1360
02-02-2018,1454,1526
03-02-2018,1489,1550
04-02-2018,1620,1708
05-02-2018,905,1005
06-02-2018,1269,1623
07-02-2018,1592,1712
08-02-2018,1466,1530
09-02-2018,1552,1605
10-02-2018,1491,1538
11-02-2018,1597,1746
12-02-2018,1184,1472
13-02-2018,1192,1589
14-02-2018,1705,1913
15-02-2018,1675,1815
16-02-2018,1897,2115
17-02-2018,2216,2475
18-02-2018,2348,2927
19-02-2018,1103,1635
20-02-2018,1173,1812
21-02-2018,912,1107
22-02-2018,1376,1450
23-02-2018,1778,1917
24-02-2018,1707,1807
25-02-2018,1341,1461
26-02-2018,1545,1969
27-02-2018,1708,2402
28-02-2018,1365,1446
01-03-2018,1714,1851
02-03-2018,1903,2134
03-03-2018,1562,1685
04-03-2018,1730,1944
05-03-2018,1437,2077
06-03-2018,491,605
07-03-2018,1628,1872
08-03-2018,1817,2133
09-03-2018,1700,1891
10-03-2018,577,623
11-03-2018,1730,1977
12-03-2018,1408,2132
13-03-2018,1435,2417
14-03-2018,1687,2046
15-03-2018,1767,2056
16-03-2018,1871,2192
17-03-2018,2320,2744
18-03-2018,2355,3239
19-03-2018,1693,3117
20-03-2018,1424,2471
21-03-2018,1676,2077
22-03-2018,2243,2703
23-03-2018,1918,2121
24-03-2018,1699,1865
25-03-2018,1910,2210
26-03-2018,1515,2496
27-03-2018,1221,1693
28-03-2018,1806,2028
29-03-2018,2108,2425
30-03-2018,1368,1536
31-03-2018,1506,1685
01-04-2018,1920,2227
02-04-2018,1354,2252
03-04-2018,1598,3249
04-04-2018,2381,3115
05-04-2018,1628,1795
06-04-2018,2395,2808
07-04-2018,2570,3141
08-04-2018,1299,1471
09-04-2018,1576,2455
10-04-2018,1707,2895
11-04-2018,2493,3348
12-04-2018,1777,2034
13-04-2018,1953,2162
14-04-2018,2738,3267
15-04-2018,2484,3126
16-04-2018,674,795
17-04-2018,2186,3744
18-04-2018,2760,3429
19-04-2018,2795,3204
20-04-2018,3331,3944
21-04-2018,3444,4189
22-04-2018,1506,1683
23-04-2018,2574,4036
24-04-2018,2481,4191
25-04-2018,3300,4073
26-04-2018,3722,4400
27-04-2018,3325,3872
28-04-2018,3489,4058
29-04-2018,3717,4595
30-04-2018,3347,5312
01-05-2018,2213,3351
02-05-2018,3554,4401
03-05-2018,3848,4451
04-05-2018,2378,2633
05-05-2018,3819,4433
06-05-2018,3714,4608
07-05-2018,3102,4714
08-05-2018,2932,4333
09-05-2018,3698,4362
10-05-2018,4109,4803
11-05-2018,3632,4182
12-05-2018,4169,4864
13-05-2018,3413,4105
14-05-2018,2507,3409
15-05-2018,2971,4553
16-05-2018,3185,3958
17-05-2018,3445,4123
18-05-2018,3319,3855
19-05-2018,3840,4575
20-05-2018,4008,4917
21-05-2018,3547,5805
22-05-2018,3084,4660
23-05-2018,3438,4274
24-05-2018,3833,4492
25-05-2018,4238,4978
26-05-2018,3919,4677
27-05-2018,3808,4679
28-05-2018,2757,4758
29-05-2018,2433,4788
30-05-2018,2549,4098
31-05-2018,3309,3982
01-06-2018,3461,3974
02-06-2018,4232,4968
03-06-2018,4414,5312
04-06-2018,3473,5342
05-06-2018,3221,4906
06-06-2018,3875,4548
07-06-2018,4070,4833
08-06-2018,3725,4401
09-06-2018,3352,3915
10-06-2018,3771,4586
11-06-2018,3237,4966
12-06-2018,2993,4460
13-06-2018,4157,5020
14-06-2018,4164,4891
15-06-2018,4411,5180
16-06-2018,3222,3767
17-06-2018,3981,4844
18-06-2018,3312,5119
19-06-2018,3105,4744
20-06-2018,3311,4010
21-06-2018,4061,4835
22-06-2018,3846,4507
23-06-2018,4044,4790
24-06-2018,4022,4991
25-06-2018,3420,5202
26-06-2018,3385,5305
27-06-2018,3854,4708
28-06-2018,3916,4648
29-06-2018,4377,5225
30-06-2018,4488,5515
01-07-2018,4116,5362
02-07-2018,2915,5119
03-07-2018,2367,4649
04-07-2018,2978,6043
05-07-2018,3634,4665
06-07-2018,3845,4629
07-07-2018,3838,4592
08-07-2018,3348,4040
09-07-2018,3348,5336
10-07-2018,3138,4881
11-07-2018,3363,4086
12-07-2018,3596,4258
13-07-2018,3594,4342
14-07-2018,4196,5084
15-07-2018,4220,5538
16-07-2018,3505,5923
17-07-2018,3296,5302
18-07-2018,3617,4458
19-07-2018,3789,4541
20-07-2018,3688,4332
21-07-2018,3152,3784
22-07-2018,2825,3387
23-07-2018,2298,3285
24-07-2018,2556,3606
25-07-2018,3272,3840
26-07-2018,3840,4590
27-07-2018,3901,4656
28-07-2018,3784,4390
29-07-2018,3176,3846
30-07-2018,2916,4475
31-07-2018,2778,4302
01-08-2018,3537,4266
02-08-2018,4044,4845
03-08-2018,3107,3574
04-08-2018,3777,4576
05-08-2018,3843,4866
06-08-2018,2773,4294
07-08-2018,2487,3785
08-08-2018,3480,4326
09-08-2018,3695,4602
10-08-2018,3896,4780
11-08-2018,3980,4792
12-08-2018,3854,4905
13-08-2018,2646,4150
14-08-2018,2482,3820
15-08-2018,3563,4338
16-08-2018,4004,4725
17-08-2018,4026,4694
18-08-2018,3166,3805
19-08-2018,3356,4153
20-08-2018,3277,5191
21-08-2018,2624,3873
22-08-2018,3925,4758
23-08-2018,4614,5895
24-08-2018,4181,5130
25-08-2018,3107,3542
26-08-2018,3893,4661
27-08-2018,889,1115
28-08-2018,2919,4334
29-08-2018,3905,4634
30-08-2018,4429,5204
31-08-2018,4370,5058
01-09-2018,4332,5115
02-09-2018,3852,4727
03-09-2018,2549,4484
04-09-2018,2419,4940
05-09-2018,2115,3351
06-09-2018,2506,2710
07-09-2018,1878,1996
08-09-2018,1689,1842
09-09-2018,3127,3544
10-09-2018,3595,5345
11-09-2018,3413,5046
12-09-2018,4023,4713
13-09-2018,4062,4763
14-09-2018,4138,4785
15-09-2018,3231,3659
16-09-2018,4018,4760
17-09-2018,3077,4511
18-09-2018,2921,4274
19-09-2018,3848,4539
20-09-2018,3203,3641
21-09-2018,3813,4352
22-09-2018,4240,4795
23-09-2018,2137,2395
24-09-2018,3647,5423
25-09-2018,3466,5010
26-09-2018,3946,4630
27-09-2018,3643,4120
28-09-2018,3427,3907
29-09-2018,4186,4839
30-09-2018,4372,5202
01-10-2018,1949,2429
02-10-2018,2302,2918
03-10-2018,3240,3570
04-10-2018,3970,4456
05-10-2018,4267,4826
06-10-2018,4126,4765
07-10-2018,4036,4985
08-10-2018,3174,5409
09-10-2018,3114,5511
10-10-2018,3603,5117
11-10-2018,3896,4563
12-10-2018,2199,2416
13-10-2018,2623,2913
14-10-2018,3115,3644
15-10-2018,3318,5217
16-10-2018,3293,5041
17-10-2018,3857,4570
18-10-2018,4111,4748
19-10-2018,2170,2424
20-10-2018,3724,4195
21-10-2018,3628,4304
22-10-2018,2809,4308
23-10-2018,2762,4381
24-10-2018,3488,4187
25-10-2018,3992,4687
26-10-2018,3490,3894
27-10-2018,2419,2659
28-10-2018,3291,3747
29-10-2018,570,627
30-10-2018,2446,3331
31-10-2018,3307,3669
01-11-2018,3658,4068
02-11-2018,3816,4186
03-11-2018,3656,3974
04-11-2018,3576,4046
05-11-2018,2770,3926
06-11-2018,2697,3649
07-11-2018,3662,4035
08-11-2018,3829,4205
09-11-2018,3804,4109
10-11-2018,2743,2933
11-11-2018,2928,3368
12-11-2018,2792,4067
13-11-2018,2713,3717
14-11-2018,3891,4486
15-11-2018,3746,4195
16-11-2018,1672,1817
17-11-2018,2914,3053
18-11-2018,3147,3392
19-11-2018,2720,3663
20-11-2018,2733,3520
21-11-2018,2545,2765
22-11-2018,1538,1607
23-11-2018,2454,2566
24-11-2018,935,1495
25-11-2018,1697,2792
26-11-2018,1819,3068
27-11-2018,2261,3071
28-11-2018,3614,3867
29-11-2018,2818,2914
30-11-2018,3425,3613
01-12-2018,3545,3727
02-12-2018,3672,3940
03-12-2018,2908,3614
04-12-2018,2851,3485
05-12-2018,3578,3811
06-12-2018,2468,2594
07-12-2018,655,705
08-12-2018,3172,3322
09-12-2018,3359,3620
10-12-2018,2688,3190
11-12-2018,2366,2743
12-12-2018,3167,3310
13-12-2018,3368,3523
14-12-2018,3562,3740
15-12-2018,3528,3709
16-12-2018,3399,3577
17-12-2018,2464,2739
18-12-2018,2211,2431
19-12-2018,3143,3403
20-12-2018,3534,3750
21-12-2018,2553,2660
22-12-2018,2841,3068
23-12-2018,2046,2209
24-12-2018,856,1011
25-12-2018,451,754
26-12-2018,887,1317
27-12-2018,1059,1162
28-12-2018,2047,2302
29-12-2018,2169,2423
30-12-2018,2508,2999
31-12-2018,1820,2485
01-01-2019,1608,2294
02-01-2019,1707,1951
03-01-2019,2147,2236
04-01-2019,2273,2368
05-01-2019,3132,3272
06-01-2019,3791,4098
07-01-2019,3451,4521
08-01-2019,2826,3425
09-01-2019,2270,2376
10-01-2019,3425,3598
11-01-2019,2085,2177
12-01-2019,3828,4097
13-01-2019,3040,3214
14-01-2019,2160,2493
15-01-2019,2027,2311
16-01-2019,2081,2298
17-01-2019,2808,2935
18-01-2019,3267,3376
19-01-2019,3162,3292
20-01-2019,3048,3163
21-01-2019,1234,1301
22-01-2019,1781,1977
23-01-2019,2287,2432
24-01-2019,3900,4339
25-01-2019,3803,4270
26-01-2019,3831,4075
27-01-2019,3187,3456
28-01-2019,3248,4023
29-01-2019,2685,3243
30-01-2019,3498,3624
31-01-2019,4185,4509
01-02-2019,4275,4579
02-02-2019,3571,3761
03-02-2019,3841,4151
04-02-2019,2448,2832
05-02-2019,2629,2947
06-02-2019,3578,3784
07-02-2019,4176,4375
08-02-2019,2693,2802
09-02-2019,3667,3830
10-02-2019,3604,3831
11-02-2019,1977,2169
12-02-2019,1456,1529
13-02-2019,3328,3422
14-02-2019,3787,3922
15-02-2019,4028,4169
16-02-2019,2931,3005
17-02-2019,3805,4154
18-02-2019,2883,4318
19-02-2019,2071,2689
20-02-2019,2627,3129
21-02-2019,3614,3777
22-02-2019,4379,4773
23-02-2019,4546,5062
24-02-2019,3241,3487
25-02-2019,2415,2732
26-02-2019,2874,3389
27-02-2019,4069,4322
28-02-2019,4134,4363
01-03-2019,4665,4990
02-03-2019,2948,3194
03-03-2019,3110,4066
04-03-2019,2713,3423
05-03-2019,3130,3333
06-03-2019,3735,3956
07-03-2019,4484,4916
08-03-2019,4896,5382
09-03-2019,4122,4569
10-03-2019,3150,4118
11-03-2019,3253,4911
12-03-2019,4460,5298
13-03-2019,5085,5847
14-03-2019,5315,6312
15-03-2019,5187,6192
16-03-2019,3830,4378
17-03-2019,4681,7836
18-03-2019,3685,5892
19-03-2019,5171,6153
20-03-2019,5042,6093
21-03-2019,5108,6230
22-03-2019,5537,6871
23-03-2019,5893,8362
24-03-2019,2339,3372
25-03-2019,3464,4996
26-03-2019,4763,5558
27-03-2019,4571,5102
28-03-2019,5024,5698
29-03-2019,5299,6133
30-03-2019,4663,5459
31-03-2019,3934,6235
01-04-2019,3694,6041
02-04-2019,4728,5936
03-04-2019,5424,6772
04-04-2019,5378,6436
05-04-2019,5265,6457
06-04-2019,4653,6460
07-04-2019,3605,6857
08-04-2019,2939,5169
09-04-2019,4680,5585
10-04-2019,5099,5918
11-04-2019,4380,4862
12-04-2019,4746,5409
13-04-2019,5146,6398
14-04-2019,4665,7460
15-04-2019,4286,7132
16-04-2019,5172,6370
17-04-2019,5702,6691
18-04-2019,4020,4367
19-04-2019,5719,6565
20-04-2019,5950,7290
21-04-2019,4083,6624
22-04-2019,907,1027
23-04-2019,3019,3214
24-04-2019,5115,5633
25-04-2019,5541,6196
26-04-2019,4551,5026
27-04-2019,5219,6233
28-04-2019,3100,4220
29-04-2019,4075,6304
30-04-2019,4907,5572
01-05-2019,5087,5740
02-05-2019,5502,6169
03-05-2019,5657,6421
04-05-2019,5227,6296
05-05-2019,4387,6883
06-05-2019,4224,6359
07-05-2019,5265,6273
08-05-2019,4990,5728
09-05-2019,4097,4717
10-05-2019,5546,6572
11-05-2019,5711,7030
12-05-2019,4807,7429
13-05-2019,3946,6118
14-05-2019,2501,2843
15-05-2019,4490,5115
16-05-2019,6433,7424
17-05-2019,6142,7384
18-05-2019,6118,7639
19-05-2019,4884,8294
20-05-2019,4425,7129
21-05-2019,3729,4359
22-05-2019,5254,6073
23-05-2019,4494,5260
24-05-2019,5711,6770
25-05-2019,5317,6734
26-05-2019,3681,6536
27-05-2019,3308,6591
28-05-2019,3486,6043
29-05-2019,4863,5743
30-05-2019,6110,6855
31-05-2019,6238,7338
01-06-2019,3594,4127
02-06-2019,5325,8120
03-06-2019,5147,7641
04-06-2019,5927,6998
05-06-2019,6033,7001
06-06-2019,6028,7055
07-06-2019,6456,7494
08-06-2019,6248,7736
09-06-2019,4790,7498
10-06-2019,4374,6598
11-06-2019,5647,6664
12-06-2019,4495,4972
13-06-2019,6248,7421
14-06-2019,6183,7363
15-06-2019,6102,7665
16-06-2019,4739,7702
17-06-2019,4344,6978
18-06-2019,4446,5099
19-06-2019,5857,6825
20-06-2019,5339,6211
21-06-2019,5127,5905
22-06-2019,4859,5823
23-06-2019,4801,7458
24-06-2019,4340,6891
25-06-2019,5640,6779
26-06-2019,6365,7442
27-06-2019,6258,7335
28-06-2019,5958,6879
29-06-2019,4634,5463
30-06-2019,4232,5687
01-07-2019,4110,5531
02-07-2019,5323,6227
03-07-2019,5608,6660
04-07-2019,4841,7403
05-07-2019,4836,6241
06-07-2019,4841,6207
07-07-2019,3392,4840
08-07-2019,3469,4672
09-07-2019,5571,6569
10-07-2019,5336,6290
11-07-2019,6289,7264
12-07-2019,6414,7446
13-07-2019,5988,7499
14-07-2019,4614,6969
15-07-2019,4111,6031
16-07-2019,5742,6830
17-07-2019,5865,6786
18-07-2019,4914,5713
19-07-2019,5703,6591
20-07-2019,5123,5870
21-07-2019,3195,4459
22-07-2019,4866,7410
23-07-2019,5831,6966
24-07-2019,6452,7592
25-07-2019,6790,8173
26-07-2019,5825,6861
27-07-2019,5645,6904
28-07-2019,4451,6685
29-07-2019,4444,6597
30-07-2019,6065,7105
31-07-2019,6248,7216
01-08-2019,6506,7580
02-08-2019,6278,7261
03-08-2019,5847,7175
04-08-2019,4479,6824
05-08-2019,3757,5464
06-08-2019,5780,7013
07-08-2019,5995,7273
08-08-2019,6271,7534
09-08-2019,6090,7286
10-08-2019,4721,5786
11-08-2019,4052,6299
12-08-2019,4362,6544
13-08-2019,5676,6883
14-08-2019,5656,6784
15-08-2019,6149,7347
16-08-2019,6267,7605
17-08-2019,5665,7148
18-08-2019,5038,7865
19-08-2019,3341,4549
20-08-2019,5504,6530
21-08-2019,5925,7006
22-08-2019,6281,7375
23-08-2019,6402,7765
24-08-2019,6257,7582
25-08-2019,4224,6053
26-08-2019,3772,5255
27-08-2019,5928,6917
28-08-2019,6105,7040
29-08-2019,6520,7697
30-08-2019,6541,7713
31-08-2019,5917,7350
01-09-2019,3788,6140
02-09-2019,3197,5810
03-09-2019,4069,6034
04-09-2019,5997,6864
05-09-2019,6280,7112
06-09-2019,5592,6203
07-09-2019,6459,7504
08-09-2019,4419,5976
09-09-2019,5657,8227
10-09-2019,6407,7525
11-09-2019,6697,7767
12-09-2019,6820,7870
13-09-2019,6750,7804
14-09-2019,6630,8009
15-09-2019,5554,8714
16-09-2019,5167,7333
17-09-2019,5847,6869
18-09-2019,3702,4073
19-09-2019,6803,7591
20-09-2019,6781,7720
21-09-2019,6917,8167
22-09-2019,5883,8395
23-09-2019,5453,7907
24-09-2019,6435,7436
25-09-2019,6693,7538
26-09-2019,6946,7733
27-09-2019,6642,7393
28-09-2019,6370,7415
29-09-2019,5966,8555
30-09-2019,4874,6889
01-10-2019,6015,6778
02-10-2019,4324,4639
03-10-2019,6844,7572
04-10-2019,6437,7328
05-10-2019,6640,8156
06-10-2019,4934,7965
07-10-2019,2729,3510
08-10-2019,4604,5478
09-10-2019,5791,6392
10-10-2019,6911,7691
11-10-2019,6736,7570
12-10-2019,6222,7282
13-10-2019,4857,7109
14-10-2019,4559,6639
15-10-2019,5115,5875
16-10-2019,6612,7534
17-10-2019,6482,7461
18-10-2019,6501,7509
19-10-2019,4671,5424
20-10-2019,5284,8090
21-10-2019,4692,6824
22-10-2019,6228,7058
23-10-2019,6625,7466
24-10-2019,6898,7693
25-10-2019,6484,7359
26-10-2019,6262,7444
27-10-2019,5209,7852
28-10-2019,3461,4459
29-10-2019,20,22
30-10-2019,1009,1096
31-10-2019,5147,5566
01-11-2019,5520,5986
02-11-2019,5229,5847
03-11-2019,4109,5138
04-11-2019,3906,5107
05-11-2019,4881,5259
06-11-2019,5220,5686
07-11-2019,4709,5035
08-11-2019,4975,5315
09-11-2019,5283,5992
10-11-2019,4446,6536
11-11-2019,4562,6852
12-11-2019,5172,6269
13-11-2019,3767,4094
14-11-2019,5122,5495
15-11-2019,5125,5445
16-11-2019,5214,5698
17-11-2019,4316,5629
18-11-2019,3747,4669
19-11-2019,5050,5499
20-11-2019,5100,5634
21-11-2019,4531,5146
22-11-2019,1470,2425
23-11-2019,2307,3910
24-11-2019,1745,2277
25-11-2019,2115,2424
26-11-2019,4750,5087
27-11-2019,3836,3959
28-11-2019,5062,5260
29-11-2019,5080,5323
30-11-2019,5306,5668
01-12-2019,4240,5191
02-12-2019,3757,4649
03-12-2019,5679,6234
04-12-2019,6055,6606
05-12-2019,5398,5729
06-12-2019,5035,5375
07-12-2019,4659,5008
08-12-2019,4429,5582
09-12-2019,2787,3228
10-12-2019,4841,5170
11-12-2019,5219,5501
12-12-2019,5009,5319
13-12-2019,5107,5532
14-12-2019,5182,5611
15-12-2019,4280,5047
16-12-2019,3248,3786
17-12-2019,4373,4585
18-12-2019,5124,5557
19-12-2019,4934,5267
20-12-2019,3814,4128
21-12-2019,3402,3623
22-12-2019,1544,1749
23-12-2019,1379,1787
24-12-2019,746,920
25-12-2019,573,1013
26-12-2019,432,441
27-12-2019,1867,2114
28-12-2019,2451,3095
29-12-2019,1182,1341
30-12-2019,1432,1796
31-12-2019,2290,2729
