dteday,season,yr,mnth,holiday,weekday,workingday
01-01-2018,1,0,1,0,6,0
02-01-2018,1,0,1,0,0,0
03-01-2018,1,0,1,0,1,1
04-01-2018,1,0,1,0,2,1
05-01-2018,1,0,1,0,3,1
06-01-2018,1,0,1,0,4,1
07-01-2018,1,0,1,0,5,1
08-01-2018,1,0,1,0,6,0
09-01-2018,1,0,1,0,0,0
10-01-2018,1,0,1,0,1,1
11-01-2018,1,0,1,0,2,1
12-01-2018,1,0,1,0,3,1
13-01-2018,1,0,1,0,4,1
14-01-2018,1,0,1,0,5,1
15-01-2018,1,0,1,0,6,0
16-01-2018,1,0,1,0,0,0
17-01-2018,1,0,1,1,1,0
18-01-2018,1,0,1,0,2,1
19-01-2018,1,0,1,0,3,1
20-01-2018,1,0,1,0,4,1
21-01-2018,1,0,1,0,5,1
22-01-2018,1,0,1,0,6,0
23-01-2018,1,0,1,0,0,0
24-01-2018,1,0,1,0,1,1
25-01-2018,1,0,1,0,2,1
26-01-2018,1,0,1,0,3,1
27-01-2018,1,0,1,0,4,1
28-01-2018,1,0,1,0,5,1
29-01-2018,1,0,1,0,6,0
30-01-2018,1,0,1,0,0,0
31-01-2018,1,0,1,0,1,1
01-02-2018,1,0,2,0,2,1
02-02-2018,1,0,2,0,3,1
03-02-2018,1,0,2,0,4,1
04-02-2018,1,0,2,0,5,1
05-02-2018,1,0,2,0,6,0
06-02-2018,1,0,2,0,0,0
07-02-2018,1,0,2,0,1,1
08-02-2018,1,0,2,0,2,1
09-02-2018,1,0,2,0,3,1
10-02-2018,1,0,2,0,4,1
11-02-2018,1,0,2,0,5,1
12-02-2018,1,0,2,0,6,0
13-02-2018,1,0,2,0,0,0
14-02-2018,1,0,2,0,1,1
15-02-2018,1,0,2,0,2,1
16-02-2018,1,0,2,0,3,1
17-02-2018,1,0,2,0,4,1
18-02-2018,1,0,2,0,5,1
19-02-2018,1,0,2,0,6,0
20-02-2018,1,0,2,0,0,0
21-02-2018,1,0,2,1,1,0
22-02-2018,1,0,2,0,2,1
23-02-2018,1,0,2,0,3,1
24-02-2018,1,0,2,0,4,1
25-02-2018,1,0,2,0,5,1
26-02-2018,1,0,2,0,6,0
27-02-2018,1,0,2,0,0,0
28-02-2018,1,0,2,0,1,1
01-03-2018,1,0,3,0,2,1
02-03-2018,1,0,3,0,3,1
03-03-2018,1,0,3,0,4,1
04-03-2018,1,0,3,0,5,1
05-03-2018,1,0,3,0,6,0
06-03-2018,1,0,3,0,0,0
07-03-2018,1,0,3,0,1,1
08-03-2018,1,0,3,0,2,1
09-03-2018,1,0,3,0,3,1
10-03-2018,1,0,3,0,4,1
11-03-2018,1,0,3,0,5,1
12-03-2018,1,0,3,0,6,0
13-03-2018,1,0,3,0,0,0
14-03-2018,1,0,3,0,1,1
15-03-2018,1,0,3,0,2,1
16-03-2018,1,0,3,0,3,1
17-03-2018,1,0,3,0,4,1
18-03-2018,1,0,3,0,5,1
19-03-2018,1,0,3,0,6,0
20-03-2018,1,0,3,0,0,0
21-03-2018,2,0,3,0,1,1
22-03-2018,2,0,3,0,2,1
23-03-2018,2,0,3,0,3,1
24-03-2018,2,0,3,0,4,1
25-03-2018,2,0,3,0,5,1
26-03-2018,2,0,3,0,6,0
27-03-2018,2,0,3,0,0,0
28-03-2018,2,0,3,0,1,1
29-03-2018,2,0,3,0,2,1
30-03-2018,2,0,3,0,3,1
31-03-2018,2,0,3,0,4,1
01-04-2018,2,0,4,0,5,1
02-04-2018,2,0,4,0,6,0
03-04-2018,2,0,4,0,0,0
04-04-2018,2,0,4,0,1,1
05-04-2018,2,0,4,0,2,1
06-04-2018,2,0,4,0,3,1
07-04-2018,2,0,4,0,4,1
08-04-2018,2,0,4,0,5,1
09-04-2018,2,0,4,0,6,0
10-04-2018,2,0,4,0,0,0
11-04-2018,2,0,4,0,1,1
12-04-2018,2,0,4,0,2,1
13-04-2018,2,0,4,0,3,1
14-04-2018,2,0,4,0,4,1
15-04-2018,2,0,4,1,5,0
16-04-2018,2,0,4,0,6,0
17-04-2018,2,0,4,0,0,0
18-04-2018,2,0,4,0,1,1
19-04-2018,2,0,4,0,2,1
20-04-2018,2,0,4,0,3,1
21-04-2018,2,0,4,0,4,1
22-04-2018,2,0,4,0,5,1
23-04-2018,2,0,4,0,6,0
24-04-2018,2,0,4,0,0,0
25-04-2018,2,0,4,0,1,1
26-04-2018,2,0,4,0,2,1
27-04-2018,2,0,4,0,3,1
28-04-2018,2,0,4,0,4,1
29-04-2018,2,0,4,0,5,1
30-04-2018,2,0,4,0,6,0
01-05-2018,2,0,5,0,0,0
02-05-2018,2,0,5,0,1,1
03-05-2018,2,0,5,0,2,1
04-05-2018,2,0,5,0,3,1
05-05-2018,2,0,5,0,4,1
06-05-2018,2,0,5,0,5,1
07-05-2018,2,0,5,0,6,0
08-05-2018,2,0,5,0,0,0
09-05-2018,2,0,5,0,1,1
10-05-2018,2,0,5,0,2,1
11-05-2018,2,0,5,0,3,1
12-05-2018,2,0,5,0,4,1
13-05-2018,2,0,5,0,5,1
14-05-2018,2,0,5,0,6,0
15-05-2018,2,0,5,0,0,0
16-05-2018,2,0,5,0,1,1
17-05-2018,2,0,5,0,2,1
18-05-2018,2,0,5,0,3,1
19-05-2018,2,0,5,0,4,1
20-05-2018,2,0,5,0,5,1
21-05-2018,2,0,5,0,6,0
22-05-2018,2,0,5,0,0,0
23-05-2018,2,0,5,0,1,1
24-05-2018,2,0,5,0,2,1
25-05-2018,2,0,5,0,3,1
26-05-2018,2,0,5,0,4,1
27-05-2018,2,0,5,0,5,1
28-05-2018,2,0,5,0,6,0
29-05-2018,2,0,5,0,0,0
30-05-2018,2,0,5,1,1,0
31-05-2018,2,0,5,0,2,1
01-06-2018,2,0,6,0,3,1
02-06-2018,2,0,6,0,4,1
03-06-2018,2,0,6,0,5,1
04-06-2018,2,0,6,0,6,0
05-06-2018,2,0,6,0,0,0
06-06-2018,2,0,6,0,1,1
07-06-2018,2,0,6,0,2,1
08-06-2018,2,0,6,0,3,1
09-06-2018,2,0,6,0,4,1
10-06-2018,2,0,6,0,5,1
11-06-2018,2,0,6,0,6,0
12-06-2018,2,0,6,0,0,0
13-06-2018,2,0,6,0,1,1
14-06-2018,2,0,6,0,2,1
15-06-2018,2,0,6,0,3,1
16-06-2018,2,0,6,0,4,1
17-06-2018,2,0,6,0,5,1
18-06-2018,2,0,6,0,6,0
19-06-2018,2,0,6,0,0,0
20-06-2018,2,0,6,0,1,1
21-06-2018,3,0,6,0,2,1
22-06-2018,3,0,6,0,3,1
23-06-2018,3,0,6,0,4,1
24-06-2018,3,0,6,0,5,1
25-06-2018,3,0,6,0,6,0
26-06-2018,3,0,6,0,0,0
27-06-2018,3,0,6,0,1,1
28-06-2018,3,0,6,0,2,1
29-06-2018,3,0,6,0,3,1
30-06-2018,3,0,6,0,4,1
01-07-2018,3,0,7,0,5,1
02-07-2018,3,0,7,0,6,0
03-07-2018,3,0,7,0,0,0
04-07-2018,3,0,7,1,1,0
05-07-2018,3,0,7,0,2,1
06-07-2018,3,0,7,0,3,1
07-07-2018,3,0,7,0,4,1
08-07-2018,3,0,7,0,5,1
09-07-2018,3,0,7,0,6,0
10-07-2018,3,0,7,0,0,0
11-07-2018,3,0,7,0,1,1
12-07-2018,3,0,7,0,2,1
13-07-2018,3,0,7,0,3,1
14-07-2018,3,0,7,0,4,1
15-07-2018,3,0,7,0,5,1
16-07-2018,3,0,7,0,6,0
17-07-2018,3,0,7,0,0,0
18-07-2018,3,0,7,0,1,1
19-07-2018,3,0,7,0,2,1
20-07-2018,3,0,7,0,3,1
21-07-2018,3,0,7,0,4,1
22-07-2018,3,0,7,0,5,1
23-07-2018,3,0,7,0,6,0
24-07-2018,3,0,7,0,0,0
25-07-2018,3,0,7,0,1,1
26-07-2018,3,0,7,0,2,1
27-07-2018,3,0,7,0,3,1
28-07-2018,3,0,7,0,4,1
29-07-2018,3,0,7,0,5,1
30-07-2018,3,0,7,0,6,0
31-07-2018,3,0,7,0,0,0
01-08-2018,3,0,8,0,1,1
02-08-2018,3,0,8,0,2,1
03-08-2018,3,0,8,0,3,1
04-08-2018,3,0,8,0,4,1
05-08-2018,3,0,8,0,5,1
06-08-2018,3,0,8,0,6,0
07-08-2018,3,0,8,0,0,0
08-08-2018,3,0,8,0,1,1
09-08-2018,3,0,8,0,2,1
10-08-2018,3,0,8,0,3,1
11-08-2018,3,0,8,0,4,1
12-08-2018,3,0,8,0,5,1
13-08-2018,3,0,8,0,6,0
14-08-2018,3,0,8,0,0,0
15-08-2018,3,0,8,0,1,1
16-08-2018,3,0,8,0,2,1
17-08-2018,3,0,8,0,3,1
18-08-2018,3,0,8,0,4,1
19-08-2018,3,0,8,0,5,1
20-08-2018,3,0,8,0,6,0
21-08-2018,3,0,8,0,0,0
22-08-2018,3,0,8,0,1,1
23-08-2018,3,0,8,0,2,1
24-08-2018,3,0,8,0,3,1
25-08-2018,3,0,8,0,4,1
26-08-2018,3,0,8,0,5,1
27-08-2018,3,0,8,0,6,0
28-08-2018,3,0,8,0,0,0
29-08-2018,3,0,8,0,1,1
30-08-2018,3,0,8,0,2,1
31-08-2018,3,0,8,0,3,1
01-09-2018,3,0,9,0,4,1
02-09-2018,3,0,9,0,5,1
03-09-2018,3,0,9,0,6,0
04-09-2018,3,0,9,0,0,0
05-09-2018,3,0,9,1,1,0
06-09-2018,3,0,9,0,2,1
07-09-2018,3,0,9,0,3,1
08-09-2018,3,0,9,0,4,1
09-09-2018,3,0,9,0,5,1
10-09-2018,3,0,9,0,6,0
11-09-2018,3,0,9,0,0,0
12-09-2018,3,0,9,0,1,1
13-09-2018,3,0,9,0,2,1
14-09-2018,3,0,9,0,3,1
15-09-2018,3,0,9,0,4,1
16-09-2018,3,0,9,0,5,1
17-09-2018,3,0,9,0,6,0
18-09-2018,3,0,9,0,0,0
19-09-2018,3,0,9,0,1,1
20-09-2018,3,0,9,0,2,1
21-09-2018,3,0,9,0,3,1
22-09-2018,3,0,9,0,4,1
23-09-2018,4,0,9,0,5,1
24-09-2018,4,0,9,0,6,0
25-09-2018,4,0,9,0,0,0
26-09-2018,4,0,9,0,1,1
27-09-2018,4,0,9,0,2,1
28-09-2018,4,0,9,0,3,1
29-09-2018,4,0,9,0,4,1
30-09-2018,4,0,9,0,5,1
01-10-2018,4,0,10,0,6,0
02-10-2018,4,0,10,0,0,0
03-10-2018,4,0,10,0,1,1
04-10-2018,4,0,10,0,2,1
05-10-2018,4,0,10,0,3,1
06-10-2018,4,0,10,0,4,1
07-10-2018,4,0,10,0,5,1
08-10-2018,4,0,10,0,6,0
09-10-2018,4,0,10,0,0,0
10-10-2018,4,0,10,1,1,0
11-10-2018,4,0,10,0,2,1
12-10-2018,4,0,10,0,3,1
13-10-2018,4,0,10,0,4,1
14-10-2018,4,0,10,0,5,1
15-10-2018,4,0,10,0,6,0
16-10-2018,4,0,10,0,0,0
17-10-2018,4,0,10,0,1,1
18-10-2018,4,0,10,0,2,1
19-10-2018,4,0,10,0,3,1
20-10-2018,4,0,10,0,4,1
21-10-2018,4,0,10,0,5,1
22-10-2018,4,0,10,0,6,0
23-10-2018,4,0,10,0,0,0
24-10-2018,4,0,10,0,1,1
25-10-2018,4,0,10,0,2,1
26-10-2018,4,0,10,0,3,1
27-10-2018,4,0,10,0,4,1
28-10-2018,4,0,10,0,5,1
29-10-2018,4,0,10,0,6,0
30-10-2018,4,0,10,0,0,0
31-10-2018,4,0,10,0,1,1
01-11-2018,4,0,11,0,2,1
02-11-2018,4,0,11,0,3,1
03-11-2018,4,0,11,0,4,1
04-11-2018,4,0,11,0,5,1
05-11-2018,4,0,11,0,6,0
06-11-2018,4,0,11,0,0,0
07-11-2018,4,0,11,0,1,1
08-11-2018,4,0,11,0,2,1
09-11-2018,4,0,11,0,3,1
10-11-2018,4,0,11,0,4,1
11-11-2018,4,0,11,1,5,0
12-11-2018,4,0,11,0,6,0
13-11-2018,4,0,11,0,0,0
14-11-2018,4,0,11,0,1,1
15-11-2018,4,0,11,0,2,1
16-11-2018,4,0,11,0,3,1
17-11-2018,4,0,11,0,4,1
18-11-2018,4,0,11,0,5,1
19-11-2018,4,0,11,0,6,0
20-11-2018,4,0,11,0,0,0
21-11-2018,4,0,11,0,1,1
22-11-2018,4,0,11,0,2,1
23-11-2018,4,0,11,0,3,1
24-11-2018,4,0,11,1,4,0
25-11-2018,4,0,11,0,5,1
26-11-2018,4,0,11,0,6,0
27-11-2018,4,0,11,0,0,0
28-11-2018,4,0,11,0,1,1
29-11-2018,4,0,11,0,2,1
30-11-2018,4,0,11,0,3,1
01-12-2018,4,0,12,0,4,1
02-12-2018,4,0,12,0,5,1
03-12-2018,4,0,12,0,6,0
04-12-2018,4,0,12,0,0,0
05-12-2018,4,0,12,0,1,1
06-12-2018,4,0,12,0,2,1
07-12-2018,4,0,12,0,3,1
08-12-2018,4,0,12,0,4,1
09-12-2018,4,0,12,0,5,1
10-12-2018,4,0,12,0,6,0
11-12-2018,4,0,12,0,0,0
12-12-2018,4,0,12,0,1,1
13-12-2018,4,0,12,0,2,1
14-12-2018,4,0,12,0,3,1
15-12-2018,4,0,12,0,4,1
16-12-2018,4,0,12,0,5,1
17-12-2018,4,0,12,0,6,0
18-12-2018,4,0,12,0,0,0
19-12-2018,4,0,12,0,1,1
20-12-2018,4,0,12,0,2,1
21-12-2018,1,0,12,0,3,1
22-12-2018,1,0,12,0,4,1
23-12-2018,1,0,12,0,5,1
24-12-2018,1,0,12,0,6,0
25-12-2018,1,0,12,0,0,0
26-12-2018,1,0,12,1,1,0
27-12-2018,1,0,12,0,2,1
28-12-2018,1,0,12,0,3,1
29-12-2018,1,0,12,0,4,1
30-12-2018,1,0,12,0,5,1
31-12-2018,1,0,12,0,6,0
01-01-2019,1,1,1,0,0,0
02-01-2019,1,1,1,1,1,0
03-01-2019,1,1,1,0,2,1
04-01-2019,1,1,1,0,3,1
05-01-2019,1,1,1,0,4,1
06-01-2019,1,1,1,0,5,1
07-01-2019,1,1,1,0,6,0
08-01-2019,1,1,1,0,0,0
09-01-2019,1,1,1,0,1,1
10-01-2019,1,1,1,0,2,1
11-01-2019,1,1,1,0,3,1
12-01-2019,1,1,1,0,4,1
13-01-2019,1,1,1,0,5,1
14-01-2019,1,1,1,0,6,0
15-01-2019,1,1,1,0,0,0
16-01-2019,1,1,1,1,1,0
17-01-2019,1,1,1,0,2,1
18-01-2019,1,1,1,0,3,1
19-01-2019,1,1,1,0,4,1
20-01-2019,1,1,1,0,5,1
21-01-2019,1,1,1,0,6,0
22-01-2019,1,1,1,0,0,0
23-01-2019,1,1,1,0,1,1
24-01-2019,1,1,1,0,2,1
25-01-2019,1,1,1,0,3,1
26-01-2019,1,1,1,0,4,1
27-01-2019,1,1,1,0,5,1
28-01-2019,1,1,1,0,6,0
29-01-2019,1,1,1,0,0,0
30-01-2019,1,1,1,0,1,1
31-01-2019,1,1,1,0,2,1
01-02-2019,1,1,2,0,3,1
02-02-2019,1,1,2,0,4,1
03-02-2019,1,1,2,0,5,1
04-02-2019,1,1,2,0,6,0
05-02-2019,1,1,2,0,0,0
06-02-2019,1,1,2,0,1,1
07-02-2019,1,1,2,0,2,1
08-02-2019,1,1,2,0,3,1
09-02-2019,1,1,2,0,4,1
10-02-2019,1,1,2,0,5,1
11-02-2019,1,1,2,0,6,0
12-02-2019,1,1,2,0,0,0
13-02-2019,1,1,2,0,1,1
14-02-2019,1,1,2,0,2,1
15-02-2019,1,1,2,0,3,1
16-02-2019,1,1,2,0,4,1
17-02-2019,1,1,2,0,5,1
18-02-2019,1,1,2,0,6,0
19-02-2019,1,1,2,0,0,0
20-02-2019,1,1,2,1,1,0
21-02-2019,1,1,2,0,2,1
22-02-2019,1,1,2,0,3,1
23-02-2019,1,1,2,0,4,1
24-02-2019,1,1,2,0,5,1
25-02-2019,1,1,2,0,6,0
26-02-2019,1,1,2,0,0,0
27-02-2019,1,1,2,0,1,1
28-02-2019,1,1,2,0,2,1
01-03-2019,1,1,3,0,4,1
02-03-2019,1,1,3,0,5,1
03-03-2019,1,1,3,0,6,0
04-03-2019,1,1,3,0,0,0
05-03-2019,1,1,3,0,1,1
06-03-2019,1,1,3,0,2,1
07-03-2019,1,1,3,0,3,1
08-03-2019,1,1,3,0,4,1
09-03-2019,1,1,3,0,5,1
10-03-2019,1,1,3,0,6,0
11-03-2019,1,1,3,0,0,0
12-03-2019,1,1,3,0,1,1
13-03-2019,1,1,3,0,2,1
14-03-2019,1,1,3,0,3,1
15-03-2019,1,1,3,0,4,1
16-03-2019,1,1,3,0,5,1
17-03-2019,1,1,3,0,6,0
18-03-2019,1,1,3,0,0,0
19-03-2019,1,1,3,0,1,1
20-03-2019,1,1,3,0,2,1
21-03-2019,2,1,3,0,3,1
22-03-2019,2,1,3,0,4,1
23-03-2019,2,1,3,0,5,1
24-03-2019,2,1,3,0,6,0
25-03-2019,2,1,3,0,0,0
26-03-2019,2,1,3,0,1,1
27-03-2019,2,1,3,0,2,1
28-03-2019,2,1,3,0,3,1
29-03-2019,2,1,3,0,4,1
30-03-2019,2,1,3,0,5,1
31-03-2019,2,1,3,0,6,0
01-04-2019,2,1,4,0,0,0
02-04-2019,2,1,4,0,1,1
03-04-2019,2,1,4,0,2,1
04-04-2019,2,1,4,0,3,1
05-04-2019,2,1,4,0,4,1
06-04-2019,2,1,4,0,5,1
07-04-2019,2,1,4,0,6,0
08-04-2019,2,1,4,0,0,0
09-04-2019,2,1,4,0,1,1
10-04-2019,2,1,4,0,2,1
11-04-2019,2,1,4,0,3,1
12-04-2019,2,1,4,0,4,1
13-04-2019,2,1,4,0,5,1
14-04-2019,2,1,4,0,6,0
15-04-2019,2,1,4,0,0,0
16-04-2019,2,1,4,1,1,0
17-04-2019,2,1,4,0,2,1
18-04-2019,2,1,4,0,3,1
19-04-2019,2,1,4,0,4,1
20-04-2019,2,1,4,0,5,1
21-04-2019,2,1,4,0,6,0
22-04-2019,2,1,4,0,0,0
23-04-2019,2,1,4,0,1,1
24-04-2019,2,1,4,0,2,1
25-04-2019,2,1,4,0,3,1
26-04-2019,2,1,4,0,4,1
27-04-2019,2,1,4,0,5,1
28-04-2019,2,1,4,0,6,0
29-04-2019,2,1,4,0,0,0
30-04-2019,2,1,4,0,1,1
01-05-2019,2,1,5,0,2,1
02-05-2019,2,1,5,0,3,1
03-05-2019,2,1,5,0,4,1
04-05-2019,2,1,5,0,5,1
05-05-2019,2,1,5,0,6,0
06-05-2019,2,1,5,0,0,0
07-05-2019,2,1,5,0,1,1
08-05-2019,2,1,5,0,2,1
09-05-2019,2,1,5,0,3,1
10-05-2019,2,1,5,0,4,1
11-05-2019,2,1,5,0,5,1
12-05-2019,2,1,5,0,6,0
13-05-2019,2,1,5,0,0,0
14-05-2019,2,1,5,0,1,1
15-05-2019,2,1,5,0,2,1
16-05-2019,2,1,5,0,3,1
17-05-2019,2,1,5,0,4,1
18-05-2019,2,1,5,0,5,1
19-05-2019,2,1,5,0,6,0
20-05-2019,2,1,5,0,0,0
21-05-2019,2,1,5,0,1,1
22-05-2019,2,1,5,0,2,1
23-05-2019,2,1,5,0,3,1
24-05-2019,2,1,5,0,4,1
25-05-2019,2,1,5,0,5,1
26-05-2019,2,1,5,0,6,0
27-05-2019,2,1,5,0,0,0
28-05-2019,2,1,5,1,1,0
29-05-2019,2,1,5,0,2,1
30-05-2019,2,1,5,0,3,1
31-05-2019,2,1,5,0,4,1
01-06-2019,2,1,6,0,5,1
02-06-2019,2,1,6,0,6,0
03-06-2019,2,1,6,0,0,0
04-06-2019,2,1,6,0,1,1
05-06-2019,2,1,6,0,2,1
06-06-2019,2,1,6,0,3,1
07-06-2019,2,1,6,0,4,1
08-06-2019,2,1,6,0,5,1
09-06-2019,2,1,6,0,6,0
10-06-2019,2,1,6,0,0,0
11-06-2019,2,1,6,0,1,1
12-06-2019,2,1,6,0,2,1
13-06-2019,2,1,6,0,3,1
14-06-2019,2,1,6,0,4,1
15-06-2019,2,1,6,0,5,1
16-06-2019,2,1,6,0,6,0
17-06-2019,2,1,6,0,0,0
18-06-2019,2,1,6,0,1,1
19-06-2019,2,1,6,0,2,1
20-06-2019,2,1,6,0,3,1
21-06-2019,3,1,6,0,4,1
22-06-2019,3,1,6,0,5,1
23-06-2019,3,1,6,0,6,0
24-06-2019,3,1,6,0,0,0
25-06-2019,3,1,6,0,1,1
26-06-2019,3,1,6,0,2,1
27-06-2019,3,1,6,0,3,1
28-06-2019,3,1,6,0,4,1
29-06-2019,3,1,6,0,5,1
30-06-2019,3,1,6,0,6,0
01-07-2019,3,1,7,0,0,0
02-07-2019,3,1,7,0,1,1
03-07-2019,3,1,7,0,2,1
04-07-2019,3,1,7,1,3,0
05-07-2019,3,1,7,0,4,1
06-07-2019,3,1,7,0,5,1
07-07-2019,3,1,7,0,6,0
08-07-2019,3,1,7,0,0,0
09-07-2019,3,1,7,0,1,1
10-07-2019,3,1,7,0,2,1
11-07-2019,3,1,7,0,3,1
12-07-2019,3,1,7,0,4,1
13-07-2019,3,1,7,0,5,1
14-07-2019,3,1,7,0,6,0
15-07-2019,3,1,7,0,0,0
16-07-2019,3,1,7,0,1,1
17-07-2019,3,1,7,0,2,1
18-07-2019,3,1,7,0,3,1
19-07-2019,3,1,7,0,4,1
20-07-2019,3,1,7,0,5,1
21-07-2019,3,1,7,0,6,0
22-07-2019,3,1,7,0,0,0
23-07-2019,3,1,7,0,1,1
24-07-2019,3,1,7,0,2,1
25-07-2019,3,1,7,0,3,1
26-07-2019,3,1,7,0,4,1
27-07-2019,3,1,7,0,5,1
28-07-2019,3,1,7,0,6,0
29-07-2019,3,1,7,0,0,0
30-07-2019,3,1,7,0,1,1
31-07-2019,3,1,7,0,2,1
01-08-2019,3,1,8,0,3,1
02-08-2019,3,1,8,0,4,1
03-08-2019,3,1,8,0,5,1
04-08-2019,3,1,8,0,6,0
05-08-2019,3,1,8,0,0,0
06-08-2019,3,1,8,0,1,1
07-08-2019,3,1,8,0,2,1
08-08-2019,3,1,8,0,3,1
09-08-2019,3,1,8,0,4,1
10-08-2019,3,1,8,0,5,1
11-08-2019,3,1,8,0,6,0
12-08-2019,3,1,8,0,0,0
13-08-2019,3,1,8,0,1,1
14-08-2019,3,1,8,0,2,1
15-08-2019,3,1,8,0,3,1
16-08-2019,3,1,8,0,4,1
17-08-2019,3,1,8,0,5,1
18-08-2019,3,1,8,0,6,0
19-08-2019,3,1,8,0,0,0
20-08-2019,3,1,8,0,1,1
21-08-2019,3,1,8,0,2,1
22-08-2019,3,1,8,0,3,1
23-08-2019,3,1,8,0,4,1
24-08-2019,3,1,8,0,5,1
25-08-2019,3,1,8,0,6,0
26-08-2019,3,1,8,0,0,0
27-08-2019,3,1,8,0,1,1
28-08-2019,3,1,8,0,2,1
29-08-2019,3,1,8,0,3,1
30-08-2019,3,1,8,0,4,1
31-08-2019,3,1,8,0,5,1
01-09-2019,3,1,9,0,6,0
02-09-2019,3,1,9,0,0,0
03-09-2019,3,1,9,1,1,0
04-09-2019,3,1,9,0,2,1
05-09-2019,3,1,9,0,3,1
06-09-2019,3,1,9,0,4,1
07-09-2019,3,1,9,0,5,1
08-09-2019,3,1,9,0,6,0
09-09-2019,3,1,9,0,0,0
10-09-2019,3,1,9,0,1,1
11-09-2019,3,1,9,0,2,1
12-09-2019,3,1,9,0,3,1
13-09-2019,3,1,9,0,4,1
14-09-2019,3,1,9,0,5,1
15-09-2019,3,1,9,0,6,0
16-09-2019,3,1,9,0,0,0
17-09-2019,3,1,9,0,1,1
18-09-2019,3,1,9,0,2,1
19-09-2019,3,1,9,0,3,1
20-09-2019,3,1,9,0,4,1
21-09-2019,3,1,9,0,5,1
22-09-2019,3,1,9,0,6,0
23-09-2019,4,1,9,0,0,0
24-09-2019,4,1,9,0,1,1
25-09-2019,4,1,9,0,2,1
26-09-2019,4,1,9,0,3,1
27-09-2019,4,1,9,0,4,1
28-09-2019,4,1,9,0,5,1
29-09-2019,4,1,9,0,6,0
30-09-2019,4,1,9,0,0,0
01-10-2019,4,1,10,0,1,1
02-10-2019,4,1,10,0,2,1
03-10-2019,4,1,10,0,3,1
04-10-2019,4,1,10,0,4,1
05-10-2019,4,1,10,0,5,1
06-10-2019,4,1,10,0,6,0
07-10-2019,4,1,10,0,0,0
08-10-2019,4,1,10,1,1,0
09-10-2019,4,1,10,0,2,1
10-10-2019,4,1,10,0,3,1
11-10-2019,4,1,10,0,4,1
12-10-2019,4,1,10,0,5,1
13-10-2019,4,1,10,0,6,0
14-10-2019,4,1,10,0,0,0
15-10-2019,4,1,10,0,1,1
16-10-2019,4,1,10,0,2,1
17-10-2019,4,1,10,0,3,1
18-10-2019,4,1,10,0,4,1
19-10-2019,4,1,10,0,5,1
20-10-2019,4,1,10,0,6,0
21-10-2019,4,1,10,0,0,0
22-10-2019,4,1,10,0,1,1
23-10-2019,4,1,10,0,2,1
24-10-2019,4,1,10,0,3,1
25-10-2019,4,1,10,0,4,1
26-10-2019,4,1,10,0,5,1
27-10-2019,4,1,10,0,6,0
28-10-2019,4,1,10,0,0,0
29-10-2019,4,1,10,0,1,1
30-10-2019,4,1,10,0,2,1
31-10-2019,4,1,10,0,3,1
01-11-2019,4,1,11,0,4,1
02-11-2019,4,1,11,0,5,1
03-11-2019,4,1,11,0,6,0
04-11-2019,4,1,11,0,0,0
05-11-2019,4,1,11,0,1,1
06-11-2019,4,1,11,0,2,1
07-11-2019,4,1,11,0,3,1
08-11-2019,4,1,11,0,4,1
09-11-2019,4,1,11,0,5,1
10-11-2019,4,1,11,0,6,0
11-11-2019,4,1,11,0,0,0
12-11-2019,4,1,11,1,1,0
13-11-2019,4,1,11,0,2,1
14-11-2019,4,1,11,0,3,1
15-11-2019,4,1,11,0,4,1
16-11-2019,4,1,11,0,5,1
17-11-2019,4,1,11,0,6,0
18-11-2019,4,1,11,0,0,0
19-11-2019,4,1,11,0,1,1
20-11-2019,4,1,11,0,2,1
21-11-2019,4,1,11,0,3,1
22-11-2019,4,1,11,1,4,0
23-11-2019,4,1,11,0,5,1
24-11-2019,4,1,11,0,6,0
25-11-2019,4,1,11,0,0,0
26-11-2019,4,1,11,0,1,1
27-11-2019,4,1,11,0,2,1
28-11-2019,4,1,11,0,3,1
29-11-2019,4,1,11,0,4,1
30-11-2019,4,1,11,0,5,1
01-12-2019,4,1,12,0,6,0
02-12-2019,4,1,12,0,0,0
03-12-2019,4,1,12,0,1,1
04-12-2019,4,1,12,0,2,1
05-12-2019,4,1,12,0,3,1
06-12-2019,4,1,12,0,4,1
07-12-2019,4,1,12,0,5,1
08-12-2019,4,1,12,0,6,0
09-12-2019,4,1,12,0,0,0
10-12-2019,4,1,12,0,1,1
11-12-2019,4,1,12,0,2,1
12-12-2019,4,1,12,0,3,1
13-12-2019,4,1,12,0,4,1
14-12-2019,4,1,12,0,5,1
15-12-2019,4,1,12,0,6,0
16-12-2019,4,1,12,0,0,0
17-12-2019,4,1,12,0,1,1
18-12-2019,4,1,12,0,2,1
19-12-2019,4,1,12,0,3,1
20-12-2019,4,1,12,0,4,1
21-12-2019,1,1,12,0,5,1
22-12-2019,1,1,12,0,6,0
23-12-2019,1,1,12,0,0,0
24-12-2019,1,1,12,0,1,1
25-12-2019,1,1,12,1,2,0
26-12-2019,1,1,12,0,3,1
27-12-2019,1,1,12,0,4,1
28-12-2019,1,1,12,0,5,1
29-12-2019,1,1,12,0,6,0
30-12-2019,1,1,12,0,0,0
31-12-2019,1,1,12,0,1,1
